company,new_hires,layoffs,hiring_rate_pct,attrition_rate_pct,net_change
AMD,37850,22237,11.328,6.343999999999999,2904.927855099561
Adobe,40071,12578,15.048,4.12,1192.8007489378379
Airbnb,9909,2426,56.976470588235294,3.576470588235294,511.71088459379547
Alphabet,246281,63848,28.077272727272728,4.1045454545454545,9986.019086984948
Amazon,1949387,418387,29.184,4.252,122479.47106896459
Apple,228536,71104,17.168,4.04,5098.826568600531
Block,15877,2919,52.4375,3.38125,1220.3333902394595
Intel,138873,114973,5.852,4.62,6947.3664074957205
LinkedIn,27058,6600,39.56818181818182,3.6090909090909093,875.6012850547961
Lyft,7631,2716,52.784615384615385,5.0,716.0061058327251
Meta,112761,34438,47.275,4.5649999999999995,7292.011016209885
Microsoft,305301,116401,11.932,4.3,10552.609471911044
NVIDIA,44288,8680,27.32,4.0360000000000005,1699.048010897083
Netflix,18797,4417,29.18,4.803999999999999,612.8606421256521
Oracle,219914,99234,10.044,4.04,6945.355576450592
PayPal,41399,13399,24.016,4.132,1430.0087412320247
Pinterest,5047,1489,44.6,4.02,343.6782548505838
SAP,150318,63318,10.552,4.04,3323.3005807480013
Salesforce,94648,22688,45.56,4.112,5618.311386291555
Shopify,14541,3549,51.339999999999996,3.5549999999999997,988.2494038503268
Snap,7619,2044,67.27857142857142,3.414285714285714,637.3185628470668
Stripe,10327,1835,75.50666666666666,3.0533333333333332,843.5426881116726
Tesla,167821,29863,54.2,3.622727272727273,9822.631407870897
Uber,46309,11817,104.175,3.6125,2784.659320874518
X (Twitter),10200,8508,55.589999999999996,7.734999999999999,1643.9288433826032
