company,year,new_hires,layoffs,net_change,hiring_rate_pct,attrition_rate_pct,gdp_growth_us_pct,unemployment_rate_us_pct
AMD,2001,2083,1070,1013,15.6,8.0,1.0,4.7
AMD,2002,0,1900,-1900,0.0,13.2,1.7,5.8
AMD,2003,0,500,-500,0.0,4.0,2.8,6.0
AMD,2004,60,360,-300,0.5,3.0,3.8,5.5
AMD,2005,0,1840,-1840,0.0,15.7,3.5,5.1
AMD,2006,6435,295,6140,65.3,3.0,2.8,4.6
AMD,2007,900,480,420,5.6,3.0,2.0,4.6
AMD,2008,0,6120,-6120,0.0,37.3,0.1,5.8
AMD,2009,924,824,100,9.0,8.0,-2.6,9.3
AMD,2010,1012,312,700,9.7,3.0,2.7,9.6
AMD,2011,333,333,0,3.0,3.0,1.6,8.9
AMD,2012,0,500,-500,0.0,4.5,2.3,8.1
AMD,2013,0,451,-451,0.0,4.3,1.8,7.4
AMD,2014,0,449,-449,0.0,4.4,2.5,6.2
AMD,2015,291,291,0,3.0,3.0,2.9,5.3
AMD,2016,0,800,-800,0.0,8.2,1.6,4.9
AMD,2017,467,267,200,5.2,3.0,2.4,4.4
AMD,2018,1273,273,1000,14.0,3.0,2.9,3.9
AMD,2019,1603,303,1300,15.9,3.0,2.3,3.7
AMD,2020,2842,342,2500,24.9,3.0,-2.8,8.1
AMD,2021,2017,417,1600,14.5,3.0,5.8,5.4
AMD,2022,11430,930,10500,73.7,6.0,1.9,3.6
AMD,2023,1560,1560,0,6.0,6.0,2.5,3.7
AMD,2024,2780,780,2000,10.7,3.0,2.8,4.1
AMD,2025,1840,840,1000,6.6,3.0,2.3,4.2
Adobe,2001,233,240,-7,7.7,8.0,1.0,4.7
Adobe,2002,140,240,-100,4.7,8.0,1.7,5.8
Adobe,2003,287,87,200,9.9,3.0,2.8,6.0
Adobe,2004,293,93,200,9.5,3.0,3.8,5.5
Adobe,2005,0,158,-158,0.0,4.8,3.5,5.1
Adobe,2006,3034,94,2940,96.6,3.0,2.8,4.6
Adobe,2007,600,182,418,9.9,3.0,2.0,4.6
Adobe,2008,1355,520,835,20.8,8.0,0.1,5.8
Adobe,2009,0,600,-600,0.0,8.2,-2.6,9.3
Adobe,2010,2584,202,2382,38.4,3.0,2.7,9.6
Adobe,2011,1081,273,808,11.9,3.0,1.6,8.9
Adobe,2012,1516,297,1219,15.3,3.0,2.3,8.1
Adobe,2013,1037,334,703,9.3,3.0,1.8,7.4
Adobe,2014,1007,355,652,8.5,3.0,2.5,6.2
Adobe,2015,1768,374,1394,14.1,3.0,2.9,5.3
Adobe,2016,2229,416,1813,16.0,3.0,1.6,4.9
Adobe,2017,2738,471,2267,17.4,3.0,2.4,4.4
Adobe,2018,3923,539,3384,21.8,3.0,2.9,3.9
Adobe,2019,1799,640,1159,8.4,3.0,2.3,3.7
Adobe,2020,793,675,118,3.5,3.0,-2.8,8.1
Adobe,2021,4033,679,3354,17.8,3.0,5.8,5.4
Adobe,2022,4810,1559,3251,18.5,6.0,1.9,3.6
Adobe,2023,2382,1754,628,8.1,6.0,2.5,3.7
Adobe,2024,1029,896,133,3.4,3.0,2.8,4.1
Adobe,2025,1400,900,500,4.7,3.0,2.3,4.2
Airbnb,2009,4,1,3,23.5,5.9,-2.6,9.3
Airbnb,2010,30,0,30,150.0,0.0,2.7,9.6
Airbnb,2011,101,1,100,202.0,2.0,1.6,8.9
Airbnb,2012,254,4,250,169.3,2.7,2.3,8.1
Airbnb,2013,312,12,300,78.0,3.0,1.8,7.4
Airbnb,2014,321,21,300,45.9,3.0,2.5,6.2
Airbnb,2015,1030,30,1000,103.0,3.0,2.9,5.3
Airbnb,2016,1160,60,1100,58.0,3.0,1.6,4.9
Airbnb,2017,1393,93,1300,44.9,3.0,2.4,4.4
Airbnb,2018,1032,132,900,23.5,3.0,2.9,3.9
Airbnb,2019,959,159,800,18.1,3.0,2.3,3.7
Airbnb,2020,0,500,-500,0.0,8.2,-2.8,8.1
Airbnb,2021,1368,168,1200,24.4,3.0,5.8,5.4
Airbnb,2022,508,408,100,7.5,6.0,1.9,3.6
Airbnb,2023,414,414,0,6.0,6.0,2.5,3.7
Airbnb,2024,507,207,300,7.3,3.0,2.8,4.1
Airbnb,2025,516,216,300,7.2,3.0,2.3,4.2
Alphabet,2004,531,77,454,20.7,3.0,3.8,5.5
Alphabet,2005,2749,90,2659,91.0,3.0,3.5,5.1
Alphabet,2006,5164,170,4994,90.9,3.0,2.8,4.6
Alphabet,2007,6451,320,6131,60.4,3.0,2.0,4.6
Alphabet,2008,4761,1344,3417,28.3,8.0,0.1,5.8
Alphabet,2009,1230,1617,-387,6.1,8.0,-2.6,9.3
Alphabet,2010,5160,595,4565,26.0,3.0,2.7,9.6
Alphabet,2011,8799,732,8067,36.1,3.0,1.6,8.9
Alphabet,2012,22368,974,21394,68.9,3.0,2.3,8.1
Alphabet,2013,0,6105,-6105,0.0,11.3,1.8,7.4
Alphabet,2014,7276,1432,5844,15.2,3.0,2.5,6.2
Alphabet,2015,9822,1608,8214,18.3,3.0,2.9,5.3
Alphabet,2016,12093,1854,10239,19.6,3.0,1.6,4.9
Alphabet,2017,10218,2161,8057,14.2,3.0,2.4,4.4
Alphabet,2018,21064,2403,18661,26.3,3.0,2.9,3.9
Alphabet,2019,23091,2963,20128,23.4,3.0,2.3,3.7
Alphabet,2020,19968,3566,16402,16.8,3.0,-2.8,8.1
Alphabet,2021,25258,4059,21199,18.7,3.0,5.8,5.4
Alphabet,2022,43124,9390,33734,27.6,6.0,1.9,3.6
Alphabet,2023,3682,11414,-7732,1.9,6.0,2.5,3.7
Alphabet,2024,6296,5475,821,3.4,3.0,2.8,4.1
Alphabet,2025,7176,5499,1677,3.9,3.0,2.3,4.2
Amazon,2001,0,1200,-1200,0.0,13.3,1.0,4.7
Amazon,2002,324,624,-300,4.2,8.0,1.7,5.8
Amazon,2003,525,225,300,7.0,3.0,2.8,6.0
Amazon,2004,1434,234,1200,18.4,3.0,3.8,5.5
Amazon,2005,3270,270,3000,36.3,3.0,3.5,5.1
Amazon,2006,2260,360,1900,18.8,3.0,2.8,4.6
Amazon,2007,3517,417,3100,25.3,3.0,2.0,4.6
Amazon,2008,5060,1360,3700,29.8,8.0,0.1,5.8
Amazon,2009,5256,1656,3600,25.4,8.0,-2.6,9.3
Amazon,2010,10129,729,9400,41.7,3.0,2.7,9.6
Amazon,2011,23511,1011,22500,69.8,3.0,1.6,8.9
Amazon,2012,33886,1686,32200,60.3,3.0,2.3,8.1
Amazon,2013,31552,2652,28900,35.7,3.0,1.8,7.4
Amazon,2014,40319,3519,36800,34.4,3.0,2.5,6.2
Amazon,2015,81323,4623,76700,52.8,3.0,2.9,5.3
Amazon,2016,117524,6924,110600,50.9,3.0,1.6,4.9
Amazon,2017,234842,10242,224600,68.8,3.0,2.4,4.4
Amazon,2018,98480,16980,81500,17.4,3.0,2.9,3.9
Amazon,2019,169925,19425,150500,26.2,3.0,2.3,3.7
Amazon,2020,523940,23940,500000,65.7,3.0,-2.8,8.1
Amazon,2021,348940,38940,310000,26.9,3.0,5.8,5.4
Amazon,2022,29480,96480,-67000,1.8,6.0,1.9,3.6
Amazon,2023,76460,92460,-16000,5.0,6.0,2.5,3.7
Amazon,2024,76750,45750,31000,5.0,3.0,2.8,4.1
Amazon,2025,30680,46680,-16000,2.0,3.0,2.3,4.2
Apple,2001,1717,685,1032,20.0,8.0,1.0,4.7
Apple,2002,1368,768,600,14.2,8.0,1.7,5.8
Apple,2003,1006,306,700,9.9,3.0,2.8,6.0
Apple,2004,1527,327,1200,14.0,3.0,3.8,5.5
Apple,2005,3063,363,2700,25.3,3.0,3.5,5.1
Apple,2006,3431,444,2987,23.2,3.0,2.8,4.6
Apple,2007,4346,533,3813,24.4,3.0,2.0,4.6
Apple,2008,12128,1728,10400,56.1,8.0,0.1,5.8
Apple,2009,4860,2560,2300,15.2,8.0,-2.6,9.3
Apple,2010,13329,1029,12300,38.9,3.0,2.7,9.6
Apple,2011,15198,1398,13800,32.6,3.0,1.6,8.9
Apple,2012,14212,1812,12400,23.5,3.0,2.3,8.1
Apple,2013,9684,2184,7500,13.3,3.0,1.8,7.4
Apple,2014,14709,2409,12300,18.3,3.0,2.5,6.2
Apple,2015,20178,2778,17400,21.8,3.0,2.9,5.3
Apple,2016,9300,3300,6000,8.5,3.0,1.6,4.9
Apple,2017,10480,3480,7000,9.0,3.0,2.4,4.4
Apple,2018,12690,3690,9000,10.3,3.0,2.9,3.9
Apple,2019,8960,3960,5000,6.8,3.0,2.3,3.7
Apple,2020,14110,4110,10000,10.3,3.0,-2.8,8.1
Apple,2021,11410,4410,7000,7.8,3.0,5.8,5.4
Apple,2022,19240,9240,10000,12.5,6.0,1.9,3.6
Apple,2023,6840,9840,-3000,4.2,6.0,2.5,3.7
Apple,2024,7830,4830,3000,4.9,3.0,2.8,4.1
Apple,2025,6920,4920,2000,4.2,3.0,2.3,4.2
Block,2010,9,1,8,21.4,2.4,2.7,9.6
Block,2011,51,1,50,102.0,2.0,1.6,8.9
Block,2012,203,3,200,203.0,3.0,2.3,8.1
Block,2013,209,9,200,69.7,3.0,1.8,7.4
Block,2014,315,15,300,63.0,3.0,2.5,6.2
Block,2015,524,24,500,65.5,3.0,2.9,5.3
Block,2016,739,39,700,56.8,3.0,1.6,4.9
Block,2017,960,60,900,48.0,3.0,2.4,4.4
Block,2018,687,87,600,23.7,3.0,2.9,3.9
Block,2019,1105,105,1000,31.6,3.0,2.3,3.7
Block,2020,2135,135,2000,47.4,3.0,-2.8,8.1
Block,2021,2195,195,2000,33.8,3.0,5.8,5.4
Block,2022,5010,510,4500,58.9,6.0,1.9,3.6
Block,2023,0,1000,-1000,0.0,7.7,2.5,3.7
Block,2024,860,360,500,7.2,3.0,2.8,4.1
Block,2025,875,375,500,7.0,3.0,2.3,4.2
Intel,2001,4188,6888,-2700,4.9,8.0,1.0,4.7
Intel,2002,1972,6672,-4700,2.4,8.0,1.7,5.8
Intel,2003,3361,2361,1000,4.3,3.0,2.8,6.0
Intel,2004,7691,2391,5300,9.6,3.0,3.8,5.5
Intel,2005,17450,2550,14900,20.5,3.0,3.5,5.1
Intel,2006,0,5800,-5800,0.0,5.8,2.8,4.6
Intel,2007,0,7800,-7800,0.0,8.3,2.0,4.6
Intel,2008,4504,6904,-2400,5.2,8.0,0.1,5.8
Intel,2009,2612,6712,-4100,3.1,8.0,-2.6,9.3
Intel,2010,5094,2394,2700,6.4,3.0,2.7,9.6
Intel,2011,20075,2475,17600,24.3,3.0,1.6,8.9
Intel,2012,7903,3003,4900,7.9,3.0,2.3,8.1
Intel,2013,5750,3150,2600,5.5,3.0,1.8,7.4
Intel,2014,2328,3228,-900,2.2,3.0,2.5,6.2
Intel,2015,3801,3201,600,3.6,3.0,2.9,5.3
Intel,2016,1919,3219,-1300,1.8,3.0,1.6,4.9
Intel,2017,0,3300,-3300,0.0,3.1,2.4,4.4
Intel,2018,7781,3081,4700,7.6,3.0,2.9,3.9
Intel,2019,6622,3222,3400,6.2,3.0,2.3,3.7
Intel,2020,3124,3324,-200,2.8,3.0,-2.8,8.1
Intel,2021,13818,3318,10500,12.5,3.0,5.8,5.4
Intel,2022,18066,7266,10800,14.9,6.0,1.9,3.6
Intel,2023,814,7914,-7100,0.6,6.0,2.5,3.7
Intel,2024,0,8300,-8300,0.0,6.7,2.8,4.1
Intel,2025,0,6500,-6500,0.0,5.6,2.3,4.2
LinkedIn,2004,9,1,8,21.4,2.4,3.8,5.5
LinkedIn,2005,31,1,30,62.0,2.0,3.5,5.1
LinkedIn,2006,42,2,40,52.5,2.5,2.8,4.6
LinkedIn,2007,83,3,80,69.2,2.5,2.0,4.6
LinkedIn,2008,166,16,150,83.0,8.0,0.1,5.8
LinkedIn,2009,178,28,150,50.9,8.0,-2.6,9.3
LinkedIn,2010,515,15,500,103.0,3.0,2.7,9.6
LinkedIn,2011,1130,30,1100,113.0,3.0,1.6,8.9
LinkedIn,2012,1421,63,1358,67.7,3.0,2.3,8.1
LinkedIn,2013,2045,103,1942,59.1,3.0,1.8,7.4
LinkedIn,2014,1659,162,1497,30.7,3.0,2.5,6.2
LinkedIn,2015,2509,206,2303,36.4,3.0,2.9,5.3
LinkedIn,2016,1876,276,1600,20.4,3.0,1.6,4.9
LinkedIn,2017,2024,324,1700,18.7,3.0,2.4,4.4
LinkedIn,2018,1875,375,1500,15.0,3.0,2.9,3.9
LinkedIn,2019,2420,420,2000,17.3,3.0,2.3,3.7
LinkedIn,2020,2480,480,2000,15.5,3.0,-2.8,8.1
LinkedIn,2021,1540,540,1000,8.6,3.0,5.8,5.4
LinkedIn,2022,2640,1140,1500,13.9,6.0,1.9,3.6
LinkedIn,2023,230,1230,-1000,1.1,6.0,2.5,3.7
LinkedIn,2024,1085,585,500,5.6,3.0,2.8,4.1
LinkedIn,2025,1100,600,500,5.5,3.0,2.3,4.2
Lyft,2013,17,2,15,20.0,2.4,1.8,7.4
Lyft,2014,203,3,200,203.0,3.0,2.5,6.2
Lyft,2015,409,9,400,136.3,3.0,2.9,5.3
Lyft,2016,821,21,800,117.3,3.0,1.6,4.9
Lyft,2017,1045,45,1000,69.7,3.0,2.4,4.4
Lyft,2018,1375,75,1300,55.0,3.0,2.9,3.9
Lyft,2019,1414,114,1300,37.2,3.0,2.3,3.7
Lyft,2020,0,300,-300,0.0,5.9,-2.8,8.1
Lyft,2021,744,144,600,15.5,3.0,5.8,5.4
Lyft,2022,824,324,500,15.3,6.0,1.9,3.6
Lyft,2023,0,1400,-1400,0.0,23.7,2.5,3.7
Lyft,2024,435,135,300,9.7,3.0,2.8,4.1
Lyft,2025,344,144,200,7.2,3.0,2.3,4.2
Meta,2006,26,3,23,20.5,2.4,2.8,4.6
Meta,2007,304,4,300,202.7,2.7,2.0,4.6
Meta,2008,286,36,250,63.6,8.0,0.1,5.8
Meta,2009,556,56,500,79.4,8.0,-2.6,9.3
Meta,2010,963,36,927,80.2,3.0,2.7,9.6
Meta,2011,1136,63,1073,53.4,3.0,1.6,8.9
Meta,2012,1515,96,1419,47.3,3.0,2.3,8.1
Meta,2013,1856,138,1718,40.2,3.0,1.8,7.4
Meta,2014,3052,190,2862,48.2,3.0,2.5,6.2
Meta,2015,3767,275,3492,41.0,3.0,2.9,5.3
Meta,2016,4737,380,4357,37.3,3.0,1.6,4.9
Meta,2017,8568,511,8057,50.3,3.0,2.4,4.4
Meta,2018,11235,753,10482,44.8,3.0,2.9,3.9
Meta,2019,10422,1067,9355,29.3,3.0,2.3,3.7
Meta,2020,15010,1348,13662,33.4,3.0,-2.8,8.1
Meta,2021,15124,1758,13366,25.8,3.0,5.8,5.4
Meta,2022,18830,4318,14512,26.2,6.0,1.9,3.6
Meta,2023,0,19165,-19165,0.0,22.2,2.5,3.7
Meta,2024,8769,2019,6750,13.0,3.0,2.8,4.1
Meta,2025,6605,2222,4383,8.9,3.0,2.3,4.2
Microsoft,2001,11628,3128,8500,29.7,8.0,1.0,4.7
Microsoft,2002,6708,3808,2900,14.1,8.0,1.7,5.8
Microsoft,2003,6015,1515,4500,11.9,3.0,2.8,6.0
Microsoft,2004,3650,1650,2000,6.6,3.0,3.8,5.5
Microsoft,2005,5710,1710,4000,10.0,3.0,3.5,5.1
Microsoft,2006,11830,1830,10000,19.4,3.0,2.8,4.6
Microsoft,2007,10130,2130,8000,14.3,3.0,2.0,4.6
Microsoft,2008,18320,6320,12000,23.2,8.0,0.1,5.8
Microsoft,2009,9280,7280,2000,10.2,8.0,-2.6,9.3
Microsoft,2010,0,4000,-4000,0.0,4.3,2.7,9.6
Microsoft,2011,3670,2670,1000,4.1,3.0,1.6,8.9
Microsoft,2012,6700,2700,4000,7.4,3.0,2.3,8.1
Microsoft,2013,7820,2820,5000,8.3,3.0,1.8,7.4
Microsoft,2014,31970,2970,29000,32.3,3.0,2.5,6.2
Microsoft,2015,0,10000,-10000,0.0,7.8,2.9,5.3
Microsoft,2016,0,4000,-4000,0.0,3.4,1.6,4.9
Microsoft,2017,13420,3420,10000,11.8,3.0,2.4,4.4
Microsoft,2018,10720,3720,7000,8.6,3.0,2.9,3.9
Microsoft,2019,16930,3930,13000,12.9,3.0,2.3,3.7
Microsoft,2020,23320,4320,19000,16.2,3.0,-2.8,8.1
Microsoft,2021,22890,4890,18000,14.0,3.0,5.8,5.4
Microsoft,2022,50860,10860,40000,28.1,6.0,1.9,3.6
Microsoft,2023,13260,13260,0,6.0,6.0,2.5,3.7
Microsoft,2024,13630,6630,7000,6.2,3.0,2.8,4.1
Microsoft,2025,6840,6840,0,3.0,3.0,2.3,4.2
NVIDIA,2001,796,31,765,203.1,7.9,1.0,4.7
NVIDIA,2002,538,92,446,46.5,8.0,1.7,5.8
NVIDIA,2003,445,48,397,27.8,3.0,2.8,6.0
NVIDIA,2004,160,60,100,8.0,3.0,3.8,5.5
NVIDIA,2005,64,63,1,3.0,3.0,3.5,5.1
NVIDIA,2006,662,63,599,31.5,3.0,2.8,4.6
NVIDIA,2007,1586,81,1505,58.7,3.0,2.0,4.6
NVIDIA,2008,1231,336,895,29.3,8.0,0.1,5.8
NVIDIA,2009,439,408,31,8.6,8.0,-2.6,9.3
NVIDIA,2010,728,153,575,14.2,3.0,2.7,9.6
NVIDIA,2011,494,171,323,8.7,3.0,1.6,8.9
NVIDIA,2012,1284,180,1104,21.3,3.0,2.3,8.1
NVIDIA,2013,442,213,229,6.2,3.0,1.8,7.4
NVIDIA,2014,1666,220,1446,22.6,3.0,2.5,6.2
NVIDIA,2015,684,264,420,7.8,3.0,2.9,5.3
NVIDIA,2016,1347,276,1071,14.6,3.0,1.6,4.9
NVIDIA,2017,1537,308,1229,14.9,3.0,2.4,4.4
NVIDIA,2018,2094,345,1749,18.2,3.0,2.9,3.9
NVIDIA,2019,398,398,0,3.0,3.0,2.3,3.7
NVIDIA,2020,896,398,498,6.7,3.0,-2.8,8.1
NVIDIA,2021,5613,413,5200,40.7,3.0,5.8,5.4
NVIDIA,2022,4636,1138,3498,24.4,6.0,1.9,3.6
NVIDIA,2023,5071,1348,3723,22.6,6.0,2.5,3.7
NVIDIA,2024,4189,785,3404,16.0,3.0,2.8,4.1
NVIDIA,2025,7288,888,6400,24.6,3.0,2.3,4.2
Netflix,2001,0,20,-20,0.0,16.7,1.0,4.7
Netflix,2002,58,8,50,58.0,8.0,1.7,5.8
Netflix,2003,154,4,150,102.7,2.7,2.8,6.0
Netflix,2004,159,9,150,53.0,3.0,3.8,5.5
Netflix,2005,548,13,535,121.8,2.9,3.5,5.1
Netflix,2006,244,29,215,24.8,2.9,2.8,4.6
Netflix,2007,336,36,300,28.0,3.0,2.0,4.6
Netflix,2008,264,120,144,17.6,8.0,0.1,5.8
Netflix,2009,187,131,56,11.4,8.0,-2.6,9.3
Netflix,2010,531,51,480,31.2,3.0,2.7,9.6
Netflix,2011,233,65,168,10.7,3.0,1.6,8.9
Netflix,2012,0,326,-326,0.0,13.9,2.3,8.1
Netflix,2013,60,60,0,3.0,3.0,1.8,7.4
Netflix,2014,227,60,167,11.2,3.0,2.5,6.2
Netflix,2015,1376,65,1311,62.9,3.0,2.9,5.3
Netflix,2016,1305,105,1200,37.3,3.0,1.6,4.9
Netflix,2017,941,141,800,20.0,3.0,2.4,4.4
Netflix,2018,1765,165,1600,32.1,3.0,2.9,3.9
Netflix,2019,1713,213,1500,24.1,3.0,2.3,3.7
Netflix,2020,1058,258,800,12.3,3.0,-2.8,8.1
Netflix,2021,2182,282,1900,23.2,3.0,5.8,5.4
Netflix,2022,2178,678,1500,19.3,6.0,1.9,3.6
Netflix,2023,968,768,200,7.6,6.0,2.5,3.7
Netflix,2024,1390,390,1000,10.7,3.0,2.8,4.1
Netflix,2025,920,420,500,6.6,3.0,2.3,4.2
Oracle,2001,4912,3305,1607,11.9,8.0,1.0,4.7
Oracle,2002,1157,3434,-2277,2.7,8.0,1.7,5.8
Oracle,2003,569,1219,-650,1.4,3.0,2.8,6.0
Oracle,2004,11072,1200,9872,27.7,3.0,3.8,5.5
Oracle,2005,1496,1496,0,3.0,3.0,3.5,5.1
Oracle,2006,7757,1496,6261,15.6,3.0,2.8,4.6
Oracle,2007,20224,1683,18541,36.0,3.0,2.0,4.6
Oracle,2008,15532,5973,9559,20.8,8.0,0.1,5.8
Oracle,2009,27505,6738,20767,32.7,8.0,-2.6,9.3
