year,new_hires,layoffs,net_change,gdp_growth_us_pct,unemployment_rate_us_pct
2001,30830,18530,12300,1.0,4.7
2002,17793,19774,-1981,1.7,5.8
2003,15146,7199,7947,2.7999999999999994,6.0
2004,30435,7393,23042,3.8,5.5
2005,36474,9630,26844,3.5,5.1
2006,47029,11693,35336,2.8,4.6
2007,57455,14927,42528,2.0,4.6
2008,78371,34751,43620,0.1,5.8
2009,55153,33449,21704,-2.6,9.3
2010,50871,14398,36473,2.7,9.6
2011,92676,14282,78394,1.6,8.9
2012,120687,17058,103629,2.3,8.1
2013,82008,24367,57641,1.8,7.4
2014,134472,21621,112851,2.5,6.2
2015,162036,31020,131016,2.9,5.3
2016,189693,29962,159731,1.6,4.9
2017,340757,33981,306776,2.4,4.4
2018,219754,42790,176964,2.9,3.9
2019,274170,48097,226073,2.3,3.7
2020,676152,58236,617916,-2.8,8.1
2021,548184,73418,474766,5.8,5.4
2022,308179,175324,132855,1.9,3.6
2023,143791,209080,-65289,2.5,3.7
2024,145935,94243,51692,2.8,4.1
2025,92712,94245,-1533,2.3,4.2
